file,folder,rounds,our_camp,enemy_camp,winner_camp,our_win,first_death_round,first_death_camp,first_death_id,our_alive,enemy_alive,our_raw_damage,enemy_raw_damage,our_attacks,enemy_attacks,our_move_attack,enemy_move_attack,enemy_focus_target,red_builds,blue_builds,red_positions,blue_positions,red_raw_damage,blue_raw_damage,red_attacks,blue_attacks,red_move_attack,blue_move_attack,red_deaths,blue_deaths,red_first_attack_target,blue_first_attack_target,red_top_target,blue_top_target,first6_focus,death_rounds,our_signatures,enemy_signatures
loss4\8492383.json,loss4,27,Red,Blue,Red,True,9,Blue,3,1,0,675,540,15,12,0,4,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(7,8);id2@(10,9);id4@(13,7)","id1@(11,11);id3@(9,11);id5@(10,11)",675,540,15,12,0,4,2,3,3,4,3,4,"('Blue', 4)x3;('Red', 3)x3",1x18;2x22;3x9;4x11;5x27,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492384.json,loss4,26,Blue,Red,Blue,True,9,Red,5,1,0,675,495,15,11,0,2,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(9,9);id4@(11,9);id5@(10,9)","id0@(10,11);id2@(13,13);id3@(7,12)",495,675,11,15,2,0,3,2,3,5,3,5,"('Blue', 5)x3;('Red', 3)x3",1x26;2x23;3x11;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492385.json,loss4,25,Red,Blue,Blue,False,9,Red,5,0,2,450,675,10,15,0,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(7,8);id4@(13,7);id5@(10,9)","id0@(10,11);id2@(11,11);id3@(9,11)",450,675,10,15,0,4,3,1,3,5,3,5,"('Blue', 5)x3;('Red', 3)x3",1x25;3x13;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492386.json,loss4,25,Blue,Red,Red,False,8,Blue,5,0,1,450,675,10,15,0,6,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id1@(9,9);id2@(11,9)","id3@(10,11);id4@(7,12);id5@(13,13)",675,450,15,10,6,0,2,3,5,0,5,0,"('Blue', 0)x3;('Red', 5)x3",0x11;1x24;3x25;4x17;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492387.json,loss4,30,Red,Blue,Blue,False,9,Blue,4,0,1,630,675,14,15,3,8,0,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(13,7);id3@(7,8)","id1@(9,11);id4@(10,11);id5@(11,11)",630,675,14,15,3,8,3,2,4,0,4,0,"('Blue', 0)x3;('Red', 4)x3",0x11;1x21;2x30;3x20;4x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492388.json,loss4,27,Blue,Red,Blue,True,8,Red,2,1,0,675,495,15,11,5,5,0,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(10,9);id3@(9,9);id4@(11,9)","id0@(10,11);id1@(7,12);id5@(13,13)",495,675,11,15,5,5,3,2,0,2,0,2,"('Blue', 2)x3;('Red', 0)x3",0x10;2x8;3x20;4x27;5x24,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492393.json,loss4,26,Blue,Red,Blue,True,9,Red,4,2,0,675,479,15,11,3,2,1,"(3, 25, 0, 100)x1;(3, 29, 0, 108)x2","(3, 29, 0, 108)x3","id0@(3,9);id4@(6,9);id5@(0,9)","id1@(10,11);id2@(13,13);id3@(7,12)",479,675,11,15,2,3,3,1,1,4,1,4,"('Blue', 4)x3;('Red', 1)x3",0x18;1x12;4x9;5x26,"(3, 29, 0, 108)x3","(3, 25, 0, 100)x1;(3, 29, 0, 108)x2"
loss4\8492394.json,loss4,27,Red,Blue,Red,True,9,Blue,5,1,0,675,512,15,12,4,2,1,"(3, 29, 0, 108)x3","(3, 25, 0, 100)x1;(3, 29, 0, 108)x2","id1@(7,8);id2@(10,9);id3@(13,7)","id0@(3,11);id4@(0,11);id5@(6,11)",675,512,15,12,4,2,2,3,5,1,5,1,"('Blue', 1)x3;('Red', 5)x3",0x27;1x12;2x26;4x21;5x9,"(3, 29, 0, 108)x3","(3, 25, 0, 100)x1;(3, 29, 0, 108)x2"
loss4\8492395.json,loss4,28,Red,Blue,Red,True,8,Blue,4,1,0,675,585,15,13,0,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(13,7);id1@(10,9);id5@(7,8)","id2@(9,11);id3@(10,11);id4@(11,11)",675,585,15,13,0,4,2,3,4,5,4,5,"('Blue', 5)x3;('Red', 4)x3",1x21;2x19;3x28;4x8;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492396.json,loss4,27,Blue,Red,Red,False,9,Blue,5,0,1,540,675,12,15,0,5,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,9);id2@(11,9);id3@(9,9)","id0@(13,13);id4@(7,12);id5@(10,11)",675,540,15,12,5,0,2,3,5,2,5,2,"('Blue', 2)x3;('Red', 5)x3",0x27;1x22;2x11;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492397.json,loss4,27,Red,Blue,Red,True,9,Blue,0,1,0,675,540,15,12,0,6,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,9);id2@(7,8);id3@(13,7)","id0@(10,11);id4@(9,11);id5@(11,11)",675,540,15,12,0,6,2,3,0,3,0,3,"('Blue', 3)x3;('Red', 0)x3",0x9;2x22;3x11;4x18;5x27,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss4\8492398.json,loss4,27,Blue,Red,Red,False,9,Blue,5,0,1,540,675,12,15,0,6,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,9);id2@(11,9);id3@(9,9)","id1@(10,11);id4@(13,13);id5@(7,12)",675,540,15,12,6,0,2,3,5,0,5,0,"('Blue', 0)x3;('Red', 5)x3",0x11;1x27;2x22;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
