file,folder,rounds,our_camp,enemy_camp,winner_camp,our_win,first_death_round,first_death_camp,first_death_id,our_alive,enemy_alive,our_raw_damage,enemy_raw_damage,our_attacks,enemy_attacks,our_move_attack,enemy_move_attack,enemy_focus_target,red_builds,blue_builds,red_positions,blue_positions,red_raw_damage,blue_raw_damage,red_attacks,blue_attacks,red_move_attack,blue_move_attack,red_deaths,blue_deaths,red_first_attack_target,blue_first_attack_target,red_top_target,blue_top_target,first6_focus,death_rounds,our_signatures,enemy_signatures
loss6\8492519.json,loss6,26,Red,Blue,Blue,False,11,Red,3,0,2,360,675,8,15,3,8,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(15,3);id2@(10,2);id3@(5,3)","id0@(15,16);id4@(10,17);id5@(5,16)",360,675,8,15,3,8,3,1,4,3,0,3,"('Blue', 3)x3;('Red', 0)x1;('Red', 4)x1",0x19;1x26;2x18;3x11,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492520.json,loss6,30,Blue,Red,Red,False,11,Blue,3,0,1,630,675,14,15,2,3,3,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(5,3);id4@(15,3);id5@(10,2)","id0@(15,16);id2@(5,16);id3@(10,17)",675,630,15,14,3,2,2,3,3,4,3,4,"('Blue', 1)x2;('Blue', 4)x1;('Red', 3)x3",0x30;1x13;2x20;3x11;4x21,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492521.json,loss6,24,Red,Blue,Blue,False,8,Red,4,0,2,270,675,6,15,2,8,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(15,3);id3@(10,2);id4@(5,3)","id0@(10,17);id1@(15,16);id5@(5,16)",270,675,6,15,2,8,3,1,0,4,0,4,"('Blue', 4)x3;('Red', 0)x1",0x19;2x24;3x17;4x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492522.json,loss6,26,Blue,Red,Red,False,10,Blue,5,0,2,405,675,9,15,2,3,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id1@(10,2);id3@(15,3);id4@(5,3)","id0@(15,16);id2@(5,16);id5@(10,17)",675,405,15,9,3,2,1,3,5,3,5,1,"('Blue', 1)x2;('Blue', 3)x1;('Red', 5)x3",0x26;1x17;2x19;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492523.json,loss6,26,Red,Blue,Blue,False,9,Red,5,0,2,405,675,9,15,2,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(15,3);id4@(5,3);id5@(10,2)","id1@(15,16);id2@(5,16);id3@(10,17)",405,675,9,15,2,4,3,1,1,5,1,5,"('Blue', 5)x3;('Red', 1)x2",0x26;1x12;4x18;5x9,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492525.json,loss6,28,Red,Blue,Blue,False,10,Red,5,0,1,540,675,12,15,0,3,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(5,3);id2@(10,2);id5@(15,3)","id1@(10,17);id3@(5,16);id4@(15,16)",540,675,12,15,0,3,3,2,1,5,1,5,"('Blue', 5)x3;('Red', 1)x2",0x28;1x12;2x19;3x23;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492526.json,loss6,28,Blue,Red,Red,False,8,Blue,5,0,1,585,675,13,15,0,3,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(10,2);id1@(5,3);id4@(15,3)","id2@(10,17);id3@(5,16);id5@(15,16)",675,585,15,13,3,0,2,3,5,0,5,0,"('Blue', 0)x3;('Red', 5)x3",0x10;2x28;3x19;4x21;5x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492527.json,loss6,25,Red,Blue,Blue,False,8,Red,4,0,2,360,675,8,15,3,7,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(10,2);id3@(15,3);id4@(5,3)","id0@(10,17);id1@(15,16);id5@(5,16)",360,675,8,15,3,7,3,1,0,4,0,4,"('Blue', 4)x3;('Red', 0)x2",0x15;2x25;3x17;4x8,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492528.json,loss6,27,Blue,Red,Red,False,10,Blue,5,0,1,450,675,10,15,0,4,5,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id2@(5,3);id3@(10,2);id4@(15,3)","id0@(5,16);id1@(10,17);id5@(15,16)",675,450,15,10,4,0,2,3,5,4,5,4,"('Blue', 4)x1;('Red', 5)x3",0x27;1x19;3x26;4x13;5x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
loss6\8492530.json,loss6,25,Blue,Red,Red,False,10,Blue,4,0,2,360,675,8,15,2,3,4,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3","id0@(5,3);id3@(15,3);id5@(10,2)","id1@(15,16);id2@(5,16);id4@(10,17)",675,360,15,8,3,2,1,3,4,3,4,0,"('Blue', 0)x2;('Blue', 3)x1;('Red', 4)x3",0x18;1x25;2x17;4x10,"(3, 29, 0, 108)x3","(3, 29, 0, 108)x3"
